VERTICAL TWO-LINE BISCUIT TRACKING
============================================================

Model: C:\Users\Sahil\Downloads\WelcomeScreen\runs\detect\biscuit_v3\weights\best.pt
Video: finetune.mp4
Confidence: 0.5
Direction: LEFT TO RIGHT
Line 1 X: 191
Line 2 X: 286
Frames Processed: 234
Unique ByteTrack IDs: 444
Line 1 Crossed: 298
Line 2 Crossed: 280
Final Count: 280

Counted IDs:
ID 4: Observations=26
ID 6: Observations=31
ID 10: Observations=27
ID 16: Observations=20
ID 18: Observations=27
ID 24: Observations=27
ID 25: Observations=31
ID 26: Observations=33
ID 27: Observations=24
ID 28: Observations=24
ID 31: Observations=24
ID 32: Observations=24
ID 42: Observations=20
ID 43: Observations=29
ID 46: Observations=23
ID 48: Observations=24
ID 62: Observations=26
ID 66: Observations=22
ID 67: Observations=16
ID 69: Observations=19
ID 76: Observations=25
ID 90: Observations=27
ID 91: Observations=17
ID 93: Observations=24
ID 94: Observations=16
ID 95: Observations=18
ID 101: Observations=21
ID 103: Observations=13
ID 106: Observations=22
ID 107: Observations=18
ID 112: Observations=13
ID 116: Observations=24
ID 117: Observations=27
ID 126: Observations=24
ID 129: Observations=17
ID 131: Observations=24
ID 134: Observations=28
ID 136: Observations=39
ID 137: Observations=29
ID 141: Observations=30
ID 153: Observations=32
ID 168: Observations=35
ID 169: Observations=30
ID 170: Observations=27
ID 172: Observations=38
ID 173: Observations=32
ID 179: Observations=37
ID 194: Observations=29
ID 200: Observations=29
ID 202: Observations=20
ID 232: Observations=27
ID 236: Observations=24
ID 253: Observations=31
ID 255: Observations=25
ID 259: Observations=30
ID 265: Observations=40
ID 268: Observations=26
ID 274: Observations=35
ID 281: Observations=26
ID 282: Observations=34
ID 283: Observations=31
ID 288: Observations=26
ID 290: Observations=23
ID 294: Observations=24
ID 296: Observations=34
ID 301: Observations=35
ID 305: Observations=40
ID 308: Observations=32
ID 309: Observations=18
ID 314: Observations=38
ID 316: Observations=36
ID 317: Observations=36
ID 319: Observations=31
ID 324: Observations=38
ID 326: Observations=28
ID 327: Observations=36
ID 333: Observations=37
ID 337: Observations=39
ID 338: Observations=32
ID 340: Observations=28
ID 341: Observations=34
ID 343: Observations=34
ID 344: Observations=34
ID 345: Observations=42
ID 346: Observations=30
ID 347: Observations=31
ID 348: Observations=36
ID 349: Observations=37
ID 350: Observations=34
ID 353: Observations=33
ID 355: Observations=35
ID 357: Observations=34
ID 358: Observations=32
ID 359: Observations=34
ID 360: Observations=34
ID 361: Observations=35
ID 362: Observations=33
ID 363: Observations=33
ID 364: Observations=40
ID 365: Observations=42
ID 370: Observations=41
ID 374: Observations=36
ID 376: Observations=40
ID 377: Observations=39
ID 378: Observations=40
ID 379: Observations=19
ID 381: Observations=33
ID 382: Observations=39
ID 383: Observations=33
ID 387: Observations=42
ID 388: Observations=34
ID 389: Observations=34
ID 392: Observations=37
ID 393: Observations=39
ID 394: Observations=40
ID 396: Observations=39
ID 397: Observations=40
ID 398: Observations=33
ID 400: Observations=34
ID 401: Observations=37
ID 402: Observations=39
ID 403: Observations=37
ID 406: Observations=28
ID 407: Observations=41
ID 408: Observations=40
ID 411: Observations=34
ID 412: Observations=37
ID 414: Observations=34
ID 416: Observations=38
ID 420: Observations=37
ID 421: Observations=35
ID 422: Observations=34
ID 423: Observations=40
ID 424: Observations=22
ID 425: Observations=38
ID 426: Observations=34
ID 428: Observations=26
ID 429: Observations=33
ID 430: Observations=39
ID 434: Observations=37
ID 435: Observations=39
ID 436: Observations=39
ID 438: Observations=35
ID 439: Observations=33
ID 440: Observations=36
ID 442: Observations=33
ID 444: Observations=34
ID 445: Observations=42
ID 446: Observations=40
ID 448: Observations=36
ID 449: Observations=38
ID 451: Observations=36
ID 453: Observations=36
ID 454: Observations=36
ID 455: Observations=17
ID 456: Observations=41
ID 457: Observations=35
ID 460: Observations=28
ID 461: Observations=29
ID 463: Observations=35
ID 464: Observations=31
ID 465: Observations=34
ID 466: Observations=35
ID 467: Observations=26
ID 469: Observations=30
ID 473: Observations=38
ID 474: Observations=33
ID 475: Observations=36
ID 476: Observations=35
ID 477: Observations=37
ID 478: Observations=33
ID 479: Observations=15
ID 480: Observations=35
ID 482: Observations=35
ID 484: Observations=40
ID 485: Observations=37
ID 487: Observations=38
ID 489: Observations=30
ID 491: Observations=40
ID 492: Observations=38
ID 493: Observations=23
ID 494: Observations=31
ID 495: Observations=27
ID 496: Observations=32
ID 497: Observations=32
ID 498: Observations=24
ID 499: Observations=34
ID 501: Observations=39
ID 502: Observations=34
ID 503: Observations=36
ID 505: Observations=33
ID 506: Observations=33
ID 508: Observations=22
ID 509: Observations=32
ID 510: Observations=36
ID 511: Observations=37
ID 513: Observations=35
ID 514: Observations=39
ID 515: Observations=33
ID 516: Observations=38
ID 517: Observations=35
ID 519: Observations=38
ID 520: Observations=41
ID 522: Observations=37
ID 523: Observations=30
ID 526: Observations=40
ID 527: Observations=29
ID 528: Observations=36
ID 529: Observations=39
ID 530: Observations=39
ID 531: Observations=37
ID 532: Observations=29
ID 533: Observations=41
ID 536: Observations=32
ID 537: Observations=28
ID 538: Observations=39
ID 539: Observations=39
ID 542: Observations=37
ID 545: Observations=37
ID 546: Observations=38
ID 548: Observations=38
ID 550: Observations=39
ID 551: Observations=40
ID 552: Observations=31
ID 553: Observations=35
ID 554: Observations=25
ID 556: Observations=33
ID 557: Observations=38
ID 558: Observations=36
ID 559: Observations=34
ID 560: Observations=41
ID 561: Observations=30
ID 562: Observations=30
ID 564: Observations=39
ID 566: Observations=40
ID 567: Observations=40
ID 569: Observations=36
ID 570: Observations=38
ID 573: Observations=38
ID 574: Observations=34
ID 575: Observations=37
ID 577: Observations=32
ID 579: Observations=36
ID 580: Observations=23
ID 581: Observations=33
ID 584: Observations=37
ID 586: Observations=37
ID 589: Observations=42
ID 590: Observations=34
ID 591: Observations=29
ID 592: Observations=39
ID 593: Observations=41
ID 594: Observations=38
ID 595: Observations=41
ID 596: Observations=40
ID 597: Observations=35
ID 598: Observations=40
ID 600: Observations=24
ID 601: Observations=34
ID 602: Observations=33
ID 604: Observations=33
ID 605: Observations=33
ID 607: Observations=34
ID 608: Observations=26
ID 609: Observations=29
ID 610: Observations=25
ID 611: Observations=32
ID 613: Observations=28
ID 614: Observations=31
ID 615: Observations=31
ID 616: Observations=30
ID 617: Observations=29
ID 618: Observations=25
ID 619: Observations=23
ID 620: Observations=19
ID 621: Observations=22
ID 623: Observations=25
ID 624: Observations=18
ID 625: Observations=25
ID 626: Observations=23
